wine_alcohol,wine_category,wine_country,wine_description,wine_name,wine_point,wine_price,wine_region,wine_variety
20%,Port/Sherry,Portugal,"The wine is dominated by big bold tannins that give a sense of great power. That produces a wine with a strong structure, and a dry edge that will need to soften. Drink this dark firm wine from 2028. ",Quinta do Vallado 2016 Adelaide Vintage  (Port),94,110,Port,Port
21%,Fortified,Portugal,"This is a rich, intense and dense wine. Aging in wood has concentrated the ripe fruit, bringing an old-gold character to the wine. It is supremely rich with flavors of molasses and also tight with great acidity. Drink this superb wine now. ",Cossart Gordon 1989 Bual Bual (Madeira),96,210,Madeira,Bual
18%,Port/Sherry,US,"An outstanding after-dinner drink, this wine has a tawny color along the rim and abundant nutty mapley apricot-like flavors. A combination of elevated alcohol, good acidity and firm tannins gives it a grip on the palate and contributes to a long tasty nutty finish. ",Meyer Family Cellars NV Port (California),90,35,California,Port
13.5%,Red,Portugal,This ripe wine is packed with attractive black fruits. Its light structure will  allow the wine to be drunk young to benefit from the fruitiness and mineral texture. Drink from 2020. ,Symington Family Estates 2016 Altano Naturalmente Red (Douro),87,12,Douro,Portuguese Red
20%,Port/Sherry,Portugal,"This is a rich, nutty wine, satisfyingly ripe, poised between sweet and dry. Its touch of spirit adds to the sweetness of the wine and balances with the acidity from wood aging. The wine is ready to drink. ",Dow's NV 10 Years Old Tawny  (Port),90,37,Port,Port
20%,Port/Sherry,Portugal,"The latest incarnation of this most famous of Late Bottled Vintage Ports has so many of the brand's characteristics. It is on the dry side, a balanced wine with acidity as well as the sweet black fruits and with some tannins to give the wine shape. The Port is bottled ready for drinking. ",Taylor Fladgate 2014 Late Bottled Vintage  (Port),90,25,Port,Port
N/A,Red,Portugal,"A blend of five Douro grapes, several of which go into Port, this has a dusty nose and a palate of warm berries. It's a thick, jammy, pungent wine that expands in the mouth to catch all corners. Aged in French oak for about a year, this wine has the potential to age and become something special. ",Sogrape 1996 Reserva Red (Douro),87,13,Douro,Portuguese Red
N/A,White,Portugal,"An oddity for this bastion of red wines and Port, this unknown white happens to be downright good and is reminiscent of Bordeaux blanc; yet it's made from a blend of fairly obscure Portuguese white varietals. Extremely aromatic, floral and clean, it's loaded with green-apple and lees flavor. Slightly creamy with a pleasant texture, this is one to look for. ",Real Vinicola 1998 Porca de Murça Reserva Red (Douro),89,17,Douro,Red Blends
N/A,Red,US,"A ripe, alcoholic nose, with port-like, raisiny fruit. It seems a little sharp and thin on the palate at this point of its development, with alcohol and tannins overriding the fruit. ",Kenwood 1997 Jack London Vineyard Zinfandel (Sonoma Valley),84,20,California,Zinfandel
14.5%,Red,US,"This is tough, chewy Zinfandel; fruity and one-dimensional, with overripe, port-like flavors. ",Norman 1997 The Monster Zinfandel (Paso Robles),84,18,California,Zinfandel
N/A,Red,US,"95-year-old vines produced this dark, inky, tannic wine made in the old style. Blueberries, vanilla and spice, with lots of depth and power. Good juice unimpeded by oak. ",Sonora 1997 TC Vineyard Old Vine Zinfandel (Amador County),86,19,California,Zinfandel
N/A,Red,US,"The flavors are almost moving into late-harvest; raisiny, superripe, hot and tannic. On the plus side is the finish, with sweet, juicy, jammy fruit that is really tasty. From 77-year-old vines. ",Sonora 1997 Story Vyd Zinfandel (Shenandoah Valley (CA)),86,19,California,Zinfandel
16.1%,Red,US,"The high alcohol (16.1%) indicates ripe, port-like fruit. Raisins and plums fill out a gamy, fat, seriously oaky monster. This is not food-friendly; it's really more of an after-dinner, Friday-night kind of wine. But if you like your Zinfandel over the top in all respects, this is your bottle. ",St. Francis 1997 Pagani Vineyard Reserve Zinfandel (Sonoma Valley),88,39,California,Zinfandel
20%,Port/Sherry,Portugal,"Perhaps the major surprise is that one of the top wines is a single quinta Port from Sandeman, a house that, after a fairly lean period, is reaffirming its commitment to Vintage Port. This is luscious, rich, almost creamy in texture, with piles of black fruit, lavender and spice. ",Sandeman 1997 Quinta do Vau Port (Douro),93,38,Douro,Port
N/A,Red,US,"Has pretty Zin aromas. Rich and fruity, and becomes almost superripe in the midpalate, where raisiny, overextracted flavors kick in with Port-like intensity and heat. A big wine that's a little off-balance; finishes hot. ",Hidden Mountain Ranch 1997 Zinfandel (California),83,16,California,Zinfandel
13.9%,Red,US,"Heady aromas of plums, chocolate, blackberries and raisins. Flavors are fruity, and tannins are considerable, as is the oak. Although the alcohol is only 13.9 percent, it drinks a little like a Port—thick and chewy. Will seem cloying and out of balance to some; others will be thrilled. ",Kendall-Jackson 1996 Grand Reserve Cabernet Sauvignon (California),89,74,California,Cabernet Sauvignon
20.5%,Port/Sherry,Portugal,"A full-bore tawny, it's still going strong, possibly too strong. Rosy in color, there's a faint odor of chlorine to go with the tea and spice aromas. Full-bodied, even a touch heavy. Spicy flavors along with apples, and some honey to the finish. Overall it's overdone. ",Quinta do Noval 1971 Colheita  (Port),85,40,Port,Port
N/A,Port/Sherry,Portugal,"What it lacks in smoothness it makes up for in its chocolaty creaminess and cream-soda flavors. Notes of cloves, licorice and spicy fruit will please anyone looking for a good, basic sipper. A tad clunky, but likable. ",Cockburn's NV 10 Years Tawny  (Port),85,25,Port,Port
20%,Port/Sherry,Portugal,"One of this esteemed house's basic Ports, and it's by no means hard to enjoy. Some strawberry and red fruit on the young, rubbery nose. Tangy, with the requisite sweetness in the form of brown sugar. There's a dark coffee note on the finish. ",Warre's NV King's Tawny  (Port),85,13,Port,Port
N/A,Port/Sherry,Portugal,"Imagine brown sugar and raisins in liquid form. Not overly concentrated or complex, but thoroughly enjoyable. Mild tannins suggest this will be an early-maturing bottling. ",Martinez Gassiot 1995 Quinta da Chousa  (Port),86,40,Port,Port
N/A,Port/Sherry,Portugal,"All the basic berries and cream on the nose. Plush and rich, this is easy-drinking Port. Black plums and a big-time sweet core. Close to syrupy, but retains its balance. Smooth, well rounded, fruity and good. A nice dessert Port. ",Rozes 1994 Reserve Edition LBV  (Port),86,19,Port,Port
20%,Port/Sherry,Portugal,"Quite floral, offering hints of violets and black cherries. A reserved style, with a narrow band of fruit flavors and some dusty tannins to resolve. Try in five years, but will always be more fragrant than flavorful. ",Warre's 1986 Quinta Da Cavadinha Port (Douro),87,42,Douro,Port
N/A,Port/Sherry,Portugal,"Simple and straightforward, with a clean, creamy body. The aromas and flavors of cinnamon, walnuts and burnt caramel conjure up memories of crème brûlée. Solid, as is the house style, if basic. ",Rozes NV Infanta Isabel 10 Year Tawny  (Port),87,25,Port,Port
17.5%,Port/Sherry,Australia,"A nutty wine with brilliant fruit, made in a lighter tawny style. The wine, a blend of Cabernet Sauvignon, Shiraz and Muscat, has a medium finish with a touch of dark plum at the end. Best Buy. ",Benjamin NV Tawny Port (South Eastern Australia),88,10,Australia Other,Port
20%,Port/Sherry,Portugal,"A soft, aromatic tawny, with little to no aggressiveness. Flavors of oranges, caramel, nuts and chocolate make it more than easy to take. Almost nonexistent acidity yields a fluffy, almost hedonistic wine—yet it's only a 10-year-old. Best Buy. ",Feist NV 10 Years Old Port (Douro),89,19,Douro,Port
N/A,Port/Sherry,Portugal,"Quite concentrated; filled with dark-fruit flavors that offer hints of coffee, licorice and chocolate. Its moderately tannic nature suggests cellaring 5–10 years before peak maturity. ",Martinez Gassiot 1995 Quinta da Eira Velha  (Port),89,43,Port,Port
20%,Port/Sherry,Portugal,"Because it has been bottled without filtering, this Port has a chance to age. It has the opulent character of a Fonseca Port, enhanced by the fine vintage. Rich and full in the mouth, the wine's stewed blackberry and sweet plum flavors, both underlined by tannins, are sure to age well. Drink from 2021. ",Fonseca 2014 Late Bottled Vintage Unfiltered  (Port),91,24,Port,Port
14%,Red,US,"Given time in bottle, this remains a hugely tannic and oak-influenced wine, woody with flavors of baked plum and black pepper. ",Prager 2013 Petite Sirah (Napa Valley),84,36,California,Petite Sirah
19.5%,Port/Sherry,Portugal,"While the aromas are somewhat medicinal, the palate shows touches of honey as well as acidity. It is an easygoing wine, with a bite of spirit at the end. ",Quinta Seara d'Ordens NV Fine White  (Port),85,12,Port,Port
19.5%,Port/Sherry,Portugal,"This fruity wine, with its smooth texture, is simple and easygoing. Its lightness balances the honeyed character that gives the wine a ripe aftertaste. ",Quinta Santa Eufemia NV Fine White  (Port),85,15,Port,Port
15.87%,Red,US,"Port-like aromas give this 100% varietal wine a sense of sweetness, the texture viscous in baked black fruit. The oak is supportive and present, adding weight and breadth. ",Rock Wall 2017 Hendry Vineyard Block 29 Zinfandel (Napa Valley),86,45,California,Zinfandel
14.7%,Red,US,"This superripe, almost Port-like wine exudes raisin and dried plum aromas and blackberry-jam flavors. It has a firm but not overwhelmingly tannic texture, is full bodied and has a mature, well-aged appeal. ",Steiner Family Vineyards 2015 Petite Sirah (El Dorado),86,26,California,Petite Sirah
19.5%,Port/Sherry,Portugal,The wine has soft fruits and spirit giving lightness and freshness. Its touch of mango adds to the fruitiness at the end. ,Quinta da Pacheca NV White  (Port),86,15,Port,Port
19.5%,Port/Sherry,Portugal,"This is a soft sweet wine that has fine fruitiness, balanced between ripe orange and lemon-curd flavors. It is an attractive wine with enough acidity at the end. ",Quevedo NV Dry White  (Port),86,22,Port,Port
19.5%,Port/Sherry,Portugal,This dry wine is strongly influenced by the wood aging. It shows in the acidity and in the bursts of freshness that come through. The aftertaste is tight and almost bitter. ,Bulas NV Dry White 10 Anos  (Port),86,36,Port,Port
19.5%,Port/Sherry,Portugal,"A smooth rounded wine with honey as well as a dry core of spirit, this is balanced and ready to drink. Its acidity comes through to give the essential freshness. ",Quevedo NV White  (Port),86,22,Port,Port
19.5%,Port/Sherry,Portugal,"This is a really fresh wine, perfumed with Muscat and bright with acidity. It has a fine balance along with some intensity and a perfumed aftertaste. ",Niepoort NV Dry White  (Port),86,15,Port,Port
19.5%,Port/Sherry,Portugal,"A soft wine with attractive perfumed fruits, this is sweet but with a bright touch of acidity at the end. ",Cálem NV White & Dry  (Port),86,19,Port,Port
19.5%,Port/Sherry,Portugal,"With lemon and wood flavors vying for dominance, this is a fresh style with some bitterness but also with a serious dry character. ",C. da Silva NV Dalva 10 Anos Dry White  (Port),87,20,Port,Port
19.5%,Port/Sherry,Portugal,This smooth and soft wine has a gentle acidity that contrasts with the bite at the end. It is in a dry style that is immediately attractive. ,Domingos Alves de Sousa NV V. Raposa Fine White  (Port),87,20,Port,Port
19.5%,Port/Sherry,Portugal,A balance between fruit and spirit gives a wine that is sweet while also having a bite and acidity. The texture has a lift of crisp apple skins at the end. ,Real Companhia Velha NV Royal Oporto White  (Port),87,15,Port,Port
19.5%,Port/Sherry,Portugal,"This is a pretty wine with acidity as well as some tangy perfumed fruits. Its concentration, edged with sweet toffee, is intense. ",Porto Réccua NV Branco Dry White  (Port),87,16,Port,Port
19.5%,Port/Sherry,Portugal,This wine with its dry edge is balanced between ripe fruitiness and freshness. It has a bite that leaves a crisp clean aftertaste. ,Adega de Favaios NV Monge Branco  (Port),87,10,Port,Port
19.5%,Port/Sherry,Portugal,"Fresh but also sweet, this is a simple fruity wine with crystallized orange flavors. These are balanced by just enough acidity. ",Quinta do Portal NV Extra Dry White  (Port),87,20,Port,Port
19.5%,Port/Sherry,Portugal,"Fruity, perfumed and with attractive acidity, this is a light bright style. Its sweetness is balanced by the crisp apple texture and the spicy aftertaste. ",Churchill's NV White Dry Aperitif  (Port),87,21,Port,Port
20%,Port/Sherry,Portugal,"This ripe, dry style of LBV is rich, full of black fruits and a dense texture that brings in prunes, red plums and a finely judged layer of spirit. This is a fine wine, ready to drink now although it could age. ",Dow's 2012 Late Bottled Vintage  (Port),90,26,Port,Port
N/A,Port/Sherry,Portugal,"This ripe, rich wood-aged wine has fine intensity, spice and old wood flavors that have not quite lost touch with fruit. Burnt caramel goes with acidity and fine spice to give a wine that is beautifully ready to drink. ",Real Companhia Velha NV Síbio Reserva 20 Years Old Tawny  (Port),91,60,Port,Port
19.5%,Port/Sherry,Portugal,"Because this wine was bottled unfiltered, it certainly has a good chance of aging further. Even now, it is rich with sweetness and ripe prune flavors, while also keeping an edge of dry tannins. The wine is very much in the elegant style of the producer. Drink now or age until 2021. ",Ramos-Pinto 2014 R.P. LBV Late Bottled Vintage  (Port),91,25,Port,Port
20%,Port/Sherry,Portugal,"Largely from the producer's own Quinta dos Malvedos, the wine is elegant while also intensely rich. Its fine tannins, sweet black currant jelly flavors cut by acidity and touch of spirit in the background all give this wine great style and also the possibility of aging for a few more months. ",W. & J. Graham's 2013 Late Bottled Vintage  (Port),91,25,Port,Port
20%,Port/Sherry,Portugal,"Produced from the two vineyards that also supply Dow's Vintage Ports, this is a surprisingly light, fresh wine considering its age. It is bright-eyed with acidity and perfumed toffee and raisin flavors, a wine that can be drunk now. ",Dow's NV 40 Years Old Tawny  (Port),92,210,Port,Port
20%,Port/Sherry,Portugal,"This is a wonderful wood-aged, mature Port full of the classic old gold flavors and intense acidity over a dry texture that is a signature of this producer. The wine is impressive, balanced and ready to drink. ",Dow's NV 20 Years Old Tawny  (Port),93,65,Port,Port
14%,Red,Portugal,"Better known for its Ports, this stunning upper Douro quinta also makes small amounts of still wine. This wine is every bit as fine in its way as the Ports, rich in structure, tannins and ripe fruits. The wine's fruitiness is still so young, and it will age well. Drink this very fine wine from 2023. ",Quinta do Vesuvio 2016 Red (Douro),94,78,Douro,Portuguese Red
20%,Port/Sherry,Portugal,"This is a beautiful wine, aged tawny at its peak. The wood aging has given the old gold character that shines though the spirit, the sweet nuttiness and hints of red fruits to give a plushy, wood-paneled wine that, of course, is ready to drink. ",Dow's NV 30 Years Old Tawny  (Port),94,140,Port,Port
14%,Red,Portugal,"Based on the magnificent Quinta de Roriz, this wine is a joint venture between the French Prats family and the Portuguese Symingtons. What has now become an icon wine is made with a nod to Bordeaux, richly structured while also elegant and layering tannins and fruit. It is obviously a wine to age, so wait until 2023. ",Prats & Symington LDA 2016 Chryseia Red (Douro),95,80,Douro,Portuguese Red
20%,Port/Sherry,Portugal,"Bottled in 2018 after nearly 25 years in wood, this wine is sumptuous with its rich toffee and spice flavors. They contrast with the hints of fresh acidity from the wood aging, giving a dry core to the mature sweet fruits. The wine is completely ready to drink. ",W. & J. Graham's 1994 Single Harvest Tawny  (Port),95,145,Port,Port
20%,Port/Sherry,Portugal,"This wine comes from a legendary year for Vintage Port, so it is fascinating to see how a wine from that year that was only bottled in 2018 has fared. The answer is amazingly. It is luscious and smooth, with fabulous old wood flavors blending with the ripe caramel and acidity. This in itself will be a wine of legend. ",W. & J. Graham's 1963 Single Harvest Tawny  (Port),98,500,Port,Port
13%,Red,US,"This unusually dark-colored and potent-smelling wine pumps out overripe pruney Port-style aromas and apparently sweet, jammy boysenberry flavors that are not at all typical for the varietal. Think of it as a dessert wine and it's acceptable. ",A&D Wines 2017 Pinot Noir (North Coast),81,15,California,Pinot Noir
18.5%,Dessert,US,"Aromas of sweet cigar wrapper, wet tobacco and prunes are very Port-like on the nose of this dessert wine. The palate is sweet in flavors of raisins and prunes, with more tobacco in the mix. ",Bushong NV Sweet Illusions Red (California),84,37,California,Red Blends
14.4%,Red,US,"A slightly Port-like quality pervades the aromas and flavors of this wine, with aromas and flavors of rose water, cranberry, chocolate and dark fruit. The palate is more restrained than the aromas would suggest. ",Tero Estates 2012 Windrow Vineyards Nebbiolo (Walla Walla Valley (WA)),85,60,Washington,Nebbiolo
N/A,Red,US,"In this 100% varietal, licorice aromas are in the lead, followed by spice, herb and black fruit. Soft, quite ripe fruit flavors follow. The flavors seem a bit Port-like but it still brings appeal. It could use more structure to hold it together. ",Tero Estates 2013 Hill Block Windrow Vineyard Cabernet Sauvignon (Walla Walla Valley (WA)),88,53,Washington,Cabernet Sauvignon
14.1%,Red,US,"This wine is 54% Sangiovese and 44% Cabernet Sauvignon. The aromas boast notes of cranberry, herb, bittersweet chocolate, cherry and saddle leather. A full-bodied palate brings enjoyment but has a slightly Port-like character to it. Chocolate notes linger on the finish. ",Tero Estates 2015 S.T. Windrow Vineyard Red (Walla Walla Valley (WA)),88,38,Washington,Red Blends
19.5%,Port/Sherry,Portugal,"An attractive sweet style of Port this has rich black fruits that emerge from the toffee and stewed plum flavors. It is a full wine, the fruit and acidity combining well with the rich texture. Drink the wine now, although it could age further. ",Quinta Seara d'Ordens 2014 Late Bottled Vintage LBV  (Port),88,20,Port,Port
19.5%,Port/Sherry,Portugal,"Fine orange marmalade and sweet caramel flavors give this wine its intensity and concentration. It is an impressively rich wine, the wood aging having brought a toasty edge to the maturity of the fruit. Drink this wine now. ",Quinta Seara d'Ordens NV 20 Anos Years Old Tawny  (Port),90,60,Port,Port
20%,Port/Sherry,Portugal,This reserve Port has been aged in large wood before bottling. It is made for immediate drinking with soft tannins and hints of sweetness. Raisins and black fruits are open and ripe. Drink now. ,Quinta Vale Dona Maria NV Reserva Lote 16  (Port),88,20,Port,Port
19.5%,Port/Sherry,Portugal,"This wine, after only nine years in wood, is still young. It is full of tannins as well as dried-fruit flavors. Plenty of acidity keeps it fresh and highlights the fruitiness. Drink now. ",Quinta de la Rosa 2009 Colheita  (Port),88,40,Port,Port
20%,Port/Sherry,Portugal,"This is an LBV with potential. Its rich prune and black-fruit flavors are ready to be enjoyed now, but there are plenty of tannins and acidity as well as spice and alcohol to allow the Port to age. Drink now or keep for at least five years. ",Quinta de la Rosa 2014 Late Bottled Vintage  (Port),91,29,Port,Port
19.5%,Port/Sherry,Portugal,"Bottled unfiltered so that it can age further, the wine is generously rich. On the dry side, it has tannins still along with acidity, which will allow it to age. They contrast with the luscious dried fruits and generous, full texture. Drink now–2025. ",Quinta Vale Dona Maria 2014 Late Bottled Vintage  (Port),91,22,Port,Port
14.5%,Red,Portugal,"The extensive organic vineyard of Quinta do Ataíde is in the Douro Superior. This wine, made from selected parcels of vines, is full, spicy with hints of the wood aging, along with mint aromas. Its richness and its dense texture are lightened by acidity. It will still need to age further, so drink from 2020. ",Symington Family Estates 2015 Quinta do Ataíde Red (Douro),92,23,Douro,Portuguese Red
19.5%,Port/Sherry,Portugal,"Celebrating in 2018 the 30th anniversary of the launch of Ports at Quinta de la Rosa by Tim Bergqvist and his daughter Sophia, this is a fine wine. It's in a light style with plenty of freshness, even now, as well as caramel, toffee and spicy wood flavors. Like all aged tawnies, the wine is ready to drink. ",Quinta de la Rosa NV 30 Year Old Tawny  (Port),92,90,Port,Port
14.5%,Red,Portugal,"Planted in the 1980s, when Touriga Nacional was a neglected grape variety, this parcel within Quinta do Ataíde has produced an exceptional wine. Full of tannins, richly textured and dense, it is also piled high with swathes of ripe black fruits. Drink this powerful wine from 2021. ",Symington Family Estates 2015 Quinta do Ataíde Vinha do Arco Touriga Nacional (Douro),94,37,Douro,Touriga Nacional
15.5%,Red,Portugal,"Named after a port in the Setúbal peninsula, the wine celebrates the local grape with superripe fruit, big tannins and only just enough acidity for touches of freshness. The wine's alcohol shows in the bitter pepper aftertaste. ",Casa Ermelinda Freitas 2017 Baía de Troia Castelão (Península de Setúbal),85,16,Península de Setúbal,Castelão
12.5%,Red,US,A superdeep color and extremely concentrated Port-like aromas help this full-bodied and firmly built wine stand out from the pack. A hint of sweetness in the dark chocolate and dried plum flavors makes it mouthcoating. ,Loveland Vineyards 2016 Dark Knight Red (California),87,20,California,Red Blends
13.5%,Red,Portugal,"A soft and fresh style of wine, with black fruits and gentle tannins, this is an easy wine to like. Its berry flavors, laced with acidity and touched by minerality, are ready to drink from now. ",Dow's 2016 Vale do Bomfim Red (Douro),87,14,Douro,Portuguese Red
20%,Port/Sherry,Portugal,"With plenty of wood-aged flavors, this dried fruit and red berry flavored wine is generous and sweet while also having an edge of tannins and spirit. It is rich, spicy and ready to drink. ",Real Companhia Velha NV Síbio Reserva Tawny  (Port),87,18,Port,Port
20%,Port/Sherry,Portugal,"An attractive, softly textured wine with sweetness, dried fruit and spice flavors and a burst of spirit. It is fruity with some acidity and is ready to drink. ",Real Companhia Velha NV Síbio Reserva Ruby  (Port),87,18,Port,Port
20%,Port/Sherry,Portugal,"A smoothly textured wine, showing rich tannins as well as red fruits, touches of ginger and great acidity over the wine's sweetness. It is ready to drink. ",Real Companhia Velha 2013 Síbio Late Bottled Vintage  (Port),87,20,Port,Port
14%,Port/Sherry,Portugal,"Firm and tannic, the wine is also full of fresh black currant fruit flavors. While it still appears young and packed with fruitiness, the wine has probably reached its peak and should be drunk as a wine that will always retain a strong, dry core. ",Real Companhia Velha 2015 Quinta do Cidrô Touriga Nacional (Douro),88,25,Douro,Touriga Nacional
20%,Port/Sherry,Portugal,"A soft, sweet style of Port that just hints at the wood aging. It is warm, filled with black fruits and raisins and finished with enough acidity. The wine is ready to drink. ",Delaforce 2012 Late Bottled Vintage  (Port),88,20,Port,Port
20%,Port/Sherry,Portugal,This dry style of Port also has a fine tannic structure that acts as a contrast. Its stalky red fruits go with the dried fruit flavors and the acidity to produce a wine that is in fact still young. The wine will be better from 2020. ,Quinta das Carvalhas 2014 Late Bottled Vintage  (Port),88,25,Port,Port
20%,Port/Sherry,Portugal,Ripe prunes and raisins are allied to rich berry flavors to give a wine that is poised comfortably between fresh fruitiness and wood aging. The wine is full and ready to drink. ,Cockburn's 2013 Late Bottled Vintage  (Port),88,25,Port,Port
20%,Port/Sherry,Portugal,"As wood-aged Colheitas go, this is young, emphasizing fruit rather than wood aging. That makes a spicy wine with toffee and caramel flavors that has layers of red fruits and acidity. The wood shows fitfully through at the end. ",Quinta das Carvalhas 2007 Colheita  (Port),89,20,Port,Port
20%,Port/Sherry,Portugal,"With that wonderful balance between fruit and wood aging, this wine is a fresh while now mature wine. Its nutty character contrasts with the red fruits and acidity. The Port has sweetness although always keeping the balance with freshness. Drink now. ",Real Companhia Velha NV Síbio Reserva 10 Years Old Tawny  (Port),90,30,Port,Port
18%,Port/Sherry,US,"An amazing floral aroma lights up this supersweet and fortified red wine before vivid, ripe and grapey flavors flood the palate and a good viscous texture coats the sides of the mouth. It's ultrarich, decadent and syrupy. ",Via Romano 2015 Moscato di Nero Black Muscat (Sierra Foothills),92,28,California,Black Muscat
18.3%,Fortified,US,"All coming from Gunkel Vineyards, this wine is a blend of Tinta Cao, Tempranillo, Saousa and Touriga Nacional. Extremely quiet aromas are followed by ripe, slightly hot-seeming fruit flavors. One wants more aromatically, but the palate provides appeal. ",Maryhill 2014 Vintage Port Proprietor's Reserve Red (Columbia Valley (WA)),85,20,Washington,Red Blends
20%,Port/Sherry,Portugal,"This blend of old tawnies was created for this limited edition in an 18th-century-style bottle. The wine is in a dry style, showing touches of older tawnies while maintaining a fruity, spicy mode. A stalky edge and raisin flavors add to the structured approach of the wine, which is ready to drink. ",Taylor Fladgate NV Limited Edition Reserve Tawny  (Port),87,60,Port,Port
19.5%,Port/Sherry,Portugal,"Pale gold in color, this white Port is soft and rich. It has sweetness as well as enough acidity to make a fine Port by itself or, fashionably, with tonic. Drink this wine chilled. ",Ramos-Pinto NV Adriano Porto White Reserva  (Port),87,18,Port,Port
14.5%,Red,US,"This bold and full-bodied wine has ripe jammy Port-like aromas, plump blackberry flavors and a rich, almost-sweet, palate impression. It's certainly mouth coating and tooth staining. ",Riaza 2015 Unorthodox Syrah (Mokelumne River),88,26,California,Syrah
19.5%,Port/Sherry,Portugal,"This balanced, sophisticated Port offers richness and acidity as well as dried fruits and some firm tannins. It is bottled unfiltered, meaning this wine can age. ",Quinta da Romaneira 2013 Late Bottled Vintage  (Port),88,23,Port,Port
20%,Port/Sherry,Portugal,"Poised by fresh fruit and more mature wood-aged flavors, this Port is deliciously easy to drink. With touches of woodiness under the ripe, full and rich berry and raisin flavors, it can be drunk now. ",Ramos-Pinto NV RP 10 Quinta da Ervamoira Tawny 10 Years  (Port),89,40,Port,Port
18%,Port/Sherry,Australia,"This amber-hued Tawny shows subtle notes of lemon, orange, toffee and walnut with a herbal undertone. The palate is more lifted and lighter than you might expect, although the alcohol feels little hot and the finish is short and, quite literally, sweet. ",Hardys NV Whiskers Blake Classic Tawny Port (Australia),89,16,Australia Other,Port
20%,Port/Sherry,Portugal,"Black in color, this attractive young Port has been blended to celebrate the founding of Croft 430 years ago, in 1588. The wine is classic ruby, bringing ripe black plums into balance with dried fruits and and generous tannins. Drink now. ",Croft NV 430th Anniversary Celebration Edition Reserve Ruby  (Port),89,25,Port,Port
18.5%,Dessert,US,"This fortified rosé is in its own class. With 110 g/L of residual sugar and 18.5% alcohol, this is close to a Port in its overall makeup. It has concentrated flavors of marzipan, candied fruits, orange marmalade and rock candy. Drink now and over the next five years. ",Björnson 2016 Ratafia Rosé (Eola-Amity Hills),90,27,Oregon,Rosé
19.5%,Port/Sherry,Portugal,"An extra amount of bottle aging has given this rich wine a rounded character. Black fruits, raisins and sultanas mingle with tannins that give shape to the richness of the Port. It could be aged further, but there is no need. ",Ramos-Pinto 2013 RP LBV Late Bottled Vintage  (Port),90,30,Port,Port
