,wine_alcohol,wine_category,wine_country,wine_description,wine_name,wine_point,wine_price,wine_region,wine_variety,year
20,,Red,US,"95-year-old vines produced this dark, inky, tannic wine made in the old style. Blueberries, vanilla and spice, with lots of depth and power. Good juice unimpeded by oak. ",Sonora 1997 TC Vineyard Old Vine Zinfandel (Amador County),86,19,California,Zinfandel, 1997
21,,Red,US,"The flavors are almost moving into late-harvest; raisiny, superripe, hot and tannic. On the plus side is the finish, with sweet, juicy, jammy fruit that is really tasty. From 77-year-old vines. ",Sonora 1997 Story Vyd Zinfandel (Shenandoah Valley (CA)),86,19,California,Zinfandel, 1997
22,16.1,Red,US,"The high alcohol (16.1%) indicates ripe, port-like fruit. Raisins and plums fill out a gamy, fat, seriously oaky monster. This is not food-friendly; it's really more of an after-dinner, Friday-night kind of wine. But if you like your Zinfandel over the top in all respects, this is your bottle. ",St. Francis 1997 Pagani Vineyard Reserve Zinfandel (Sonoma Valley),88,39,California,Zinfandel, 1997
23,20.0,Port/Sherry,Portugal,"Perhaps the major surprise is that one of the top wines is a single quinta Port from Sandeman, a house that, after a fairly lean period, is reaffirming its commitment to Vintage Port. This is luscious, rich, almost creamy in texture, with piles of black fruit, lavender and spice. ",Sandeman 1997 Quinta do Vau Port (Douro),93,38,Douro,Port, 1997
24,,Red,US,"Has pretty Zin aromas. Rich and fruity, and becomes almost superripe in the midpalate, where raisiny, overextracted flavors kick in with Port-like intensity and heat. A big wine that's a little off-balance; finishes hot. ",Hidden Mountain Ranch 1997 Zinfandel (California),83,16,California,Zinfandel, 1997
25,13.9,Red,US,"Heady aromas of plums, chocolate, blackberries and raisins. Flavors are fruity, and tannins are considerable, as is the oak. Although the alcohol is only 13.9 percent, it drinks a little like a Port—thick and chewy. Will seem cloying and out of balance to some; others will be thrilled. ",Kendall-Jackson 1996 Grand Reserve Cabernet Sauvignon (California),89,74,California,Cabernet Sauvignon, 1996
26,20.5,Port/Sherry,Portugal,"A full-bore tawny, it's still going strong, possibly too strong. Rosy in color, there's a faint odor of chlorine to go with the tea and spice aromas. Full-bodied, even a touch heavy. Spicy flavors along with apples, and some honey to the finish. Overall it's overdone. ",Quinta do Noval 1971 Colheita  (Port),85,40,Port,Port, 1971
27,,Port/Sherry,Portugal,"What it lacks in smoothness it makes up for in its chocolaty creaminess and cream-soda flavors. Notes of cloves, licorice and spicy fruit will please anyone looking for a good, basic sipper. A tad clunky, but likable. ",Cockburn's NV 10 Years Tawny  (Port),85,25,Port,Port,
28,20.0,Port/Sherry,Portugal,"One of this esteemed house's basic Ports, and it's by no means hard to enjoy. Some strawberry and red fruit on the young, rubbery nose. Tangy, with the requisite sweetness in the form of brown sugar. There's a dark coffee note on the finish. ",Warre's NV King's Tawny  (Port),85,13,Port,Port,
29,,Port/Sherry,Portugal,"Imagine brown sugar and raisins in liquid form. Not overly concentrated or complex, but thoroughly enjoyable. Mild tannins suggest this will be an early-maturing bottling. ",Martinez Gassiot 1995 Quinta da Chousa  (Port),86,40,Port,Port, 1995
30,,Port/Sherry,Portugal,"All the basic berries and cream on the nose. Plush and rich, this is easy-drinking Port. Black plums and a big-time sweet core. Close to syrupy, but retains its balance. Smooth, well rounded, fruity and good. A nice dessert Port. ",Rozes 1994 Reserve Edition LBV  (Port),86,19,Port,Port, 1994
31,20.0,Port/Sherry,Portugal,"Quite floral, offering hints of violets and black cherries. A reserved style, with a narrow band of fruit flavors and some dusty tannins to resolve. Try in five years, but will always be more fragrant than flavorful. ",Warre's 1986 Quinta Da Cavadinha Port (Douro),87,42,Douro,Port, 1986
32,,Port/Sherry,Portugal,"Simple and straightforward, with a clean, creamy body. The aromas and flavors of cinnamon, walnuts and burnt caramel conjure up memories of crème brûlée. Solid, as is the house style, if basic. ",Rozes NV Infanta Isabel 10 Year Tawny  (Port),87,25,Port,Port,
34,20.0,Port/Sherry,Portugal,"A soft, aromatic tawny, with little to no aggressiveness. Flavors of oranges, caramel, nuts and chocolate make it more than easy to take. Almost nonexistent acidity yields a fluffy, almost hedonistic wine—yet it's only a 10-year-old. Best Buy. ",Feist NV 10 Years Old Port (Douro),89,19,Douro,Port,
35,,Port/Sherry,Portugal,"Quite concentrated; filled with dark-fruit flavors that offer hints of coffee, licorice and chocolate. Its moderately tannic nature suggests cellaring 5–10 years before peak maturity. ",Martinez Gassiot 1995 Quinta da Eira Velha  (Port),89,43,Port,Port, 1995
36,20.0,Port/Sherry,Portugal,"Because it has been bottled without filtering, this Port has a chance to age. It has the opulent character of a Fonseca Port, enhanced by the fine vintage. Rich and full in the mouth, the wine's stewed blackberry and sweet plum flavors, both underlined by tannins, are sure to age well. Drink from 2021. ",Fonseca 2014 Late Bottled Vintage Unfiltered  (Port),91,24,Port,Port, 2014
37,14.0,Red,US,"Given time in bottle, this remains a hugely tannic and oak-influenced wine, woody with flavors of baked plum and black pepper. ",Prager 2013 Petite Sirah (Napa Valley),84,36,California,Petite Sirah, 2013
38,19.5,Port/Sherry,Portugal,"While the aromas are somewhat medicinal, the palate shows touches of honey as well as acidity. It is an easygoing wine, with a bite of spirit at the end. ",Quinta Seara d'Ordens NV Fine White  (Port),85,12,Port,Port,
39,19.5,Port/Sherry,Portugal,"This fruity wine, with its smooth texture, is simple and easygoing. Its lightness balances the honeyed character that gives the wine a ripe aftertaste. ",Quinta Santa Eufemia NV Fine White  (Port),85,15,Port,Port,
40,15.87,Red,US,"Port-like aromas give this 100% varietal wine a sense of sweetness, the texture viscous in baked black fruit. The oak is supportive and present, adding weight and breadth. ",Rock Wall 2017 Hendry Vineyard Block 29 Zinfandel (Napa Valley),86,45,California,Zinfandel, 2017
41,14.7,Red,US,"This superripe, almost Port-like wine exudes raisin and dried plum aromas and blackberry-jam flavors. It has a firm but not overwhelmingly tannic texture, is full bodied and has a mature, well-aged appeal. ",Steiner Family Vineyards 2015 Petite Sirah (El Dorado),86,26,California,Petite Sirah, 2015
42,19.5,Port/Sherry,Portugal,The wine has soft fruits and spirit giving lightness and freshness. Its touch of mango adds to the fruitiness at the end. ,Quinta da Pacheca NV White  (Port),86,15,Port,Port,
43,19.5,Port/Sherry,Portugal,"This is a soft sweet wine that has fine fruitiness, balanced between ripe orange and lemon-curd flavors. It is an attractive wine with enough acidity at the end. ",Quevedo NV Dry White  (Port),86,22,Port,Port,
44,19.5,Port/Sherry,Portugal,This dry wine is strongly influenced by the wood aging. It shows in the acidity and in the bursts of freshness that come through. The aftertaste is tight and almost bitter. ,Bulas NV Dry White 10 Anos  (Port),86,36,Port,Port,
45,19.5,Port/Sherry,Portugal,"A smooth rounded wine with honey as well as a dry core of spirit, this is balanced and ready to drink. Its acidity comes through to give the essential freshness. ",Quevedo NV White  (Port),86,22,Port,Port,
46,19.5,Port/Sherry,Portugal,"This is a really fresh wine, perfumed with Muscat and bright with acidity. It has a fine balance along with some intensity and a perfumed aftertaste. ",Niepoort NV Dry White  (Port),86,15,Port,Port,
47,19.5,Port/Sherry,Portugal,"A soft wine with attractive perfumed fruits, this is sweet but with a bright touch of acidity at the end. ",Cálem NV White & Dry  (Port),86,19,Port,Port,
48,19.5,Port/Sherry,Portugal,"With lemon and wood flavors vying for dominance, this is a fresh style with some bitterness but also with a serious dry character. ",C. da Silva NV Dalva 10 Anos Dry White  (Port),87,20,Port,Port,
49,19.5,Port/Sherry,Portugal,This smooth and soft wine has a gentle acidity that contrasts with the bite at the end. It is in a dry style that is immediately attractive. ,Domingos Alves de Sousa NV V. Raposa Fine White  (Port),87,20,Port,Port,
50,19.5,Port/Sherry,Portugal,A balance between fruit and spirit gives a wine that is sweet while also having a bite and acidity. The texture has a lift of crisp apple skins at the end. ,Real Companhia Velha NV Royal Oporto White  (Port),87,15,Port,Port,
51,19.5,Port/Sherry,Portugal,"This is a pretty wine with acidity as well as some tangy perfumed fruits. Its concentration, edged with sweet toffee, is intense. ",Porto Réccua NV Branco Dry White  (Port),87,16,Port,Port,
52,19.5,Port/Sherry,Portugal,This wine with its dry edge is balanced between ripe fruitiness and freshness. It has a bite that leaves a crisp clean aftertaste. ,Adega de Favaios NV Monge Branco  (Port),87,10,Port,Port,
53,19.5,Port/Sherry,Portugal,"Fresh but also sweet, this is a simple fruity wine with crystallized orange flavors. These are balanced by just enough acidity. ",Quinta do Portal NV Extra Dry White  (Port),87,20,Port,Port,
54,19.5,Port/Sherry,Portugal,"Fruity, perfumed and with attractive acidity, this is a light bright style. Its sweetness is balanced by the crisp apple texture and the spicy aftertaste. ",Churchill's NV White Dry Aperitif  (Port),87,21,Port,Port,
55,20.0,Port/Sherry,Portugal,"This ripe, dry style of LBV is rich, full of black fruits and a dense texture that brings in prunes, red plums and a finely judged layer of spirit. This is a fine wine, ready to drink now although it could age. ",Dow's 2012 Late Bottled Vintage  (Port),90,26,Port,Port, 2012
56,,Port/Sherry,Portugal,"This ripe, rich wood-aged wine has fine intensity, spice and old wood flavors that have not quite lost touch with fruit. Burnt caramel goes with acidity and fine spice to give a wine that is beautifully ready to drink. ",Real Companhia Velha NV Síbio Reserva 20 Years Old Tawny  (Port),91,60,Port,Port,
57,19.5,Port/Sherry,Portugal,"Because this wine was bottled unfiltered, it certainly has a good chance of aging further. Even now, it is rich with sweetness and ripe prune flavors, while also keeping an edge of dry tannins. The wine is very much in the elegant style of the producer. Drink now or age until 2021. ",Ramos-Pinto 2014 R.P. LBV Late Bottled Vintage  (Port),91,25,Port,Port, 2014
58,20.0,Port/Sherry,Portugal,"Largely from the producer's own Quinta dos Malvedos, the wine is elegant while also intensely rich. Its fine tannins, sweet black currant jelly flavors cut by acidity and touch of spirit in the background all give this wine great style and also the possibility of aging for a few more months. ",W. & J. Graham's 2013 Late Bottled Vintage  (Port),91,25,Port,Port, 2013
59,20.0,Port/Sherry,Portugal,"Produced from the two vineyards that also supply Dow's Vintage Ports, this is a surprisingly light, fresh wine considering its age. It is bright-eyed with acidity and perfumed toffee and raisin flavors, a wine that can be drunk now. ",Dow's NV 40 Years Old Tawny  (Port),92,210,Port,Port,
60,20.0,Port/Sherry,Portugal,"This is a wonderful wood-aged, mature Port full of the classic old gold flavors and intense acidity over a dry texture that is a signature of this producer. The wine is impressive, balanced and ready to drink. ",Dow's NV 20 Years Old Tawny  (Port),93,65,Port,Port,
61,14.0,Red,Portugal,"Better known for its Ports, this stunning upper Douro quinta also makes small amounts of still wine. This wine is every bit as fine in its way as the Ports, rich in structure, tannins and ripe fruits. The wine's fruitiness is still so young, and it will age well. Drink this very fine wine from 2023. ",Quinta do Vesuvio 2016 Red (Douro),94,78,Douro,Portuguese Red, 2016
62,20.0,Port/Sherry,Portugal,"This is a beautiful wine, aged tawny at its peak. The wood aging has given the old gold character that shines though the spirit, the sweet nuttiness and hints of red fruits to give a plushy, wood-paneled wine that, of course, is ready to drink. ",Dow's NV 30 Years Old Tawny  (Port),94,140,Port,Port,
63,14.0,Red,Portugal,"Based on the magnificent Quinta de Roriz, this wine is a joint venture between the French Prats family and the Portuguese Symingtons. What has now become an icon wine is made with a nod to Bordeaux, richly structured while also elegant and layering tannins and fruit. It is obviously a wine to age, so wait until 2023. ",Prats & Symington LDA 2016 Chryseia Red (Douro),95,80,Douro,Portuguese Red, 2016
64,20.0,Port/Sherry,Portugal,"Bottled in 2018 after nearly 25 years in wood, this wine is sumptuous with its rich toffee and spice flavors. They contrast with the hints of fresh acidity from the wood aging, giving a dry core to the mature sweet fruits. The wine is completely ready to drink. ",W. & J. Graham's 1994 Single Harvest Tawny  (Port),95,145,Port,Port, 1994
65,20.0,Port/Sherry,Portugal,"This wine comes from a legendary year for Vintage Port, so it is fascinating to see how a wine from that year that was only bottled in 2018 has fared. The answer is amazingly. It is luscious and smooth, with fabulous old wood flavors blending with the ripe caramel and acidity. This in itself will be a wine of legend. ",W. & J. Graham's 1963 Single Harvest Tawny  (Port),98,500,Port,Port, 1963
66,13.0,Red,US,"This unusually dark-colored and potent-smelling wine pumps out overripe pruney Port-style aromas and apparently sweet, jammy boysenberry flavors that are not at all typical for the varietal. Think of it as a dessert wine and it's acceptable. ",A&D Wines 2017 Pinot Noir (North Coast),81,15,California,Pinot Noir, 2017
67,18.5,Dessert,US,"Aromas of sweet cigar wrapper, wet tobacco and prunes are very Port-like on the nose of this dessert wine. The palate is sweet in flavors of raisins and prunes, with more tobacco in the mix. ",Bushong NV Sweet Illusions Red (California),84,37,California,Red Blends,
71,19.5,Port/Sherry,Portugal,"An attractive sweet style of Port this has rich black fruits that emerge from the toffee and stewed plum flavors. It is a full wine, the fruit and acidity combining well with the rich texture. Drink the wine now, although it could age further. ",Quinta Seara d'Ordens 2014 Late Bottled Vintage LBV  (Port),88,20,Port,Port, 2014
72,19.5,Port/Sherry,Portugal,"Fine orange marmalade and sweet caramel flavors give this wine its intensity and concentration. It is an impressively rich wine, the wood aging having brought a toasty edge to the maturity of the fruit. Drink this wine now. ",Quinta Seara d'Ordens NV 20 Anos Years Old Tawny  (Port),90,60,Port,Port,
73,20.0,Port/Sherry,Portugal,This reserve Port has been aged in large wood before bottling. It is made for immediate drinking with soft tannins and hints of sweetness. Raisins and black fruits are open and ripe. Drink now. ,Quinta Vale Dona Maria NV Reserva Lote 16  (Port),88,20,Port,Port,
74,19.5,Port/Sherry,Portugal,"This wine, after only nine years in wood, is still young. It is full of tannins as well as dried-fruit flavors. Plenty of acidity keeps it fresh and highlights the fruitiness. Drink now. ",Quinta de la Rosa 2009 Colheita  (Port),88,40,Port,Port, 2009
75,20.0,Port/Sherry,Portugal,"This is an LBV with potential. Its rich prune and black-fruit flavors are ready to be enjoyed now, but there are plenty of tannins and acidity as well as spice and alcohol to allow the Port to age. Drink now or keep for at least five years. ",Quinta de la Rosa 2014 Late Bottled Vintage  (Port),91,29,Port,Port, 2014
76,19.5,Port/Sherry,Portugal,"Bottled unfiltered so that it can age further, the wine is generously rich. On the dry side, it has tannins still along with acidity, which will allow it to age. They contrast with the luscious dried fruits and generous, full texture. Drink now–2025. ",Quinta Vale Dona Maria 2014 Late Bottled Vintage  (Port),91,22,Port,Port, 2014
77,14.5,Red,Portugal,"The extensive organic vineyard of Quinta do Ataíde is in the Douro Superior. This wine, made from selected parcels of vines, is full, spicy with hints of the wood aging, along with mint aromas. Its richness and its dense texture are lightened by acidity. It will still need to age further, so drink from 2020. ",Symington Family Estates 2015 Quinta do Ataíde Red (Douro),92,23,Douro,Portuguese Red, 2015
78,19.5,Port/Sherry,Portugal,"Celebrating in 2018 the 30th anniversary of the launch of Ports at Quinta de la Rosa by Tim Bergqvist and his daughter Sophia, this is a fine wine. It's in a light style with plenty of freshness, even now, as well as caramel, toffee and spicy wood flavors. Like all aged tawnies, the wine is ready to drink. ",Quinta de la Rosa NV 30 Year Old Tawny  (Port),92,90,Port,Port,
79,14.5,Red,Portugal,"Planted in the 1980s, when Touriga Nacional was a neglected grape variety, this parcel within Quinta do Ataíde has produced an exceptional wine. Full of tannins, richly textured and dense, it is also piled high with swathes of ripe black fruits. Drink this powerful wine from 2021. ",Symington Family Estates 2015 Quinta do Ataíde Vinha do Arco Touriga Nacional (Douro),94,37,Douro,Touriga Nacional, 2015
81,12.5,Red,US,A superdeep color and extremely concentrated Port-like aromas help this full-bodied and firmly built wine stand out from the pack. A hint of sweetness in the dark chocolate and dried plum flavors makes it mouthcoating. ,Loveland Vineyards 2016 Dark Knight Red (California),87,20,California,Red Blends, 2016
82,13.5,Red,Portugal,"A soft and fresh style of wine, with black fruits and gentle tannins, this is an easy wine to like. Its berry flavors, laced with acidity and touched by minerality, are ready to drink from now. ",Dow's 2016 Vale do Bomfim Red (Douro),87,14,Douro,Portuguese Red, 2016
83,20.0,Port/Sherry,Portugal,"With plenty of wood-aged flavors, this dried fruit and red berry flavored wine is generous and sweet while also having an edge of tannins and spirit. It is rich, spicy and ready to drink. ",Real Companhia Velha NV Síbio Reserva Tawny  (Port),87,18,Port,Port,
84,20.0,Port/Sherry,Portugal,"An attractive, softly textured wine with sweetness, dried fruit and spice flavors and a burst of spirit. It is fruity with some acidity and is ready to drink. ",Real Companhia Velha NV Síbio Reserva Ruby  (Port),87,18,Port,Port,
85,20.0,Port/Sherry,Portugal,"A smoothly textured wine, showing rich tannins as well as red fruits, touches of ginger and great acidity over the wine's sweetness. It is ready to drink. ",Real Companhia Velha 2013 Síbio Late Bottled Vintage  (Port),87,20,Port,Port, 2013
86,14.0,Port/Sherry,Portugal,"Firm and tannic, the wine is also full of fresh black currant fruit flavors. While it still appears young and packed with fruitiness, the wine has probably reached its peak and should be drunk as a wine that will always retain a strong, dry core. ",Real Companhia Velha 2015 Quinta do Cidrô Touriga Nacional (Douro),88,25,Douro,Touriga Nacional, 2015
87,20.0,Port/Sherry,Portugal,"A soft, sweet style of Port that just hints at the wood aging. It is warm, filled with black fruits and raisins and finished with enough acidity. The wine is ready to drink. ",Delaforce 2012 Late Bottled Vintage  (Port),88,20,Port,Port, 2012
88,20.0,Port/Sherry,Portugal,This dry style of Port also has a fine tannic structure that acts as a contrast. Its stalky red fruits go with the dried fruit flavors and the acidity to produce a wine that is in fact still young. The wine will be better from 2020. ,Quinta das Carvalhas 2014 Late Bottled Vintage  (Port),88,25,Port,Port, 2014
89,20.0,Port/Sherry,Portugal,Ripe prunes and raisins are allied to rich berry flavors to give a wine that is poised comfortably between fresh fruitiness and wood aging. The wine is full and ready to drink. ,Cockburn's 2013 Late Bottled Vintage  (Port),88,25,Port,Port, 2013
90,20.0,Port/Sherry,Portugal,"As wood-aged Colheitas go, this is young, emphasizing fruit rather than wood aging. That makes a spicy wine with toffee and caramel flavors that has layers of red fruits and acidity. The wood shows fitfully through at the end. ",Quinta das Carvalhas 2007 Colheita  (Port),89,20,Port,Port, 2007
91,20.0,Port/Sherry,Portugal,"With that wonderful balance between fruit and wood aging, this wine is a fresh while now mature wine. Its nutty character contrasts with the red fruits and acidity. The Port has sweetness although always keeping the balance with freshness. Drink now. ",Real Companhia Velha NV Síbio Reserva 10 Years Old Tawny  (Port),90,30,Port,Port,
92,18.0,Port/Sherry,US,"An amazing floral aroma lights up this supersweet and fortified red wine before vivid, ripe and grapey flavors flood the palate and a good viscous texture coats the sides of the mouth. It's ultrarich, decadent and syrupy. ",Via Romano 2015 Moscato di Nero Black Muscat (Sierra Foothills),92,28,California,Black Muscat, 2015
94,20.0,Port/Sherry,Portugal,"This blend of old tawnies was created for this limited edition in an 18th-century-style bottle. The wine is in a dry style, showing touches of older tawnies while maintaining a fruity, spicy mode. A stalky edge and raisin flavors add to the structured approach of the wine, which is ready to drink. ",Taylor Fladgate NV Limited Edition Reserve Tawny  (Port),87,60,Port,Port,
95,19.5,Port/Sherry,Portugal,"Pale gold in color, this white Port is soft and rich. It has sweetness as well as enough acidity to make a fine Port by itself or, fashionably, with tonic. Drink this wine chilled. ",Ramos-Pinto NV Adriano Porto White Reserva  (Port),87,18,Port,Port,
96,14.5,Red,US,"This bold and full-bodied wine has ripe jammy Port-like aromas, plump blackberry flavors and a rich, almost-sweet, palate impression. It's certainly mouth coating and tooth staining. ",Riaza 2015 Unorthodox Syrah (Mokelumne River),88,26,California,Syrah, 2015
97,19.5,Port/Sherry,Portugal,"This balanced, sophisticated Port offers richness and acidity as well as dried fruits and some firm tannins. It is bottled unfiltered, meaning this wine can age. ",Quinta da Romaneira 2013 Late Bottled Vintage  (Port),88,23,Port,Port, 2013
98,20.0,Port/Sherry,Portugal,"Poised by fresh fruit and more mature wood-aged flavors, this Port is deliciously easy to drink. With touches of woodiness under the ripe, full and rich berry and raisin flavors, it can be drunk now. ",Ramos-Pinto NV RP 10 Quinta da Ervamoira Tawny 10 Years  (Port),89,40,Port,Port,
100,20.0,Port/Sherry,Portugal,"Black in color, this attractive young Port has been blended to celebrate the founding of Croft 430 years ago, in 1588. The wine is classic ruby, bringing ripe black plums into balance with dried fruits and and generous tannins. Drink now. ",Croft NV 430th Anniversary Celebration Edition Reserve Ruby  (Port),89,25,Port,Port,
102,19.5,Port/Sherry,Portugal,"An extra amount of bottle aging has given this rich wine a rounded character. Black fruits, raisins and sultanas mingle with tannins that give shape to the richness of the Port. It could be aged further, but there is no need. ",Ramos-Pinto 2013 RP LBV Late Bottled Vintage  (Port),90,30,Port,Port, 2013
103,20.0,Port/Sherry,Portugal,"This is a great aperitif Port, served with ice and with tonic. It is in a dry style, crisp and with a touch of tangy minerality as well as light acidity, boosted by the bite of spirit. Drink it now. ",Taylor Fladgate NV Chip Dry Extra Dry White  (Port),90,19,Port,Port,
105,19.5,Port/Sherry,Portugal,"It's exciting to see Rita Marques, winemaker of her family's winery, launching a Vintage Port. She has found 90-year-old vines and has produced a well-balanced wine, rich with raisins, dark plums and a powerful structure. It is on the sweet spectrum of Vintage Ports, opulent and set for long-term aging. Drink from 2027. ",Conceito Vinhos 2016 Vintage  (Port),92,90,Port,Port, 2016
106,20.5,Port/Sherry,Portugal,"Very concentrated and with great richness, this is a real meditation wine . Its intensity and old-wood character are magnificent and pronounced while never losing sight of the rich wine behind it. It can be drunk now. ",Ramos-Pinto NV RP 30 Tawny 30 Years  (Port),94,109,Port,Port,
107,20.5,Port/Sherry,Portugal,"Old gold in color, this is the most complete style of aged tawny. The long barrel aging (in old barrels) has given concentration, a touch of oxidation and a wonderful spicy character. It is rich, luscious and beautifully ready to drink. ",Ramos-Pinto NV RP 20 Quinta do Bom Retiro Tawny 20 Years  (Port),94,70,Port,Port,
109,20.0,Dessert,US,"Dark and hearty aromas of blackberry syrup, clove, allspice and prune show on the intense nose of this cigar-perfect Port. A black plum flavor grips the palate as espresso and raisin tones emerge, proving the overall package sweet yet spicy. ",Williams Selyem 2012 Vista Verde Vineyard Port (San Benito County),91,40,California,Port, 2012
111,20.0,Port/Sherry,Portugal,"A black, firm and rich wine, this is immense and with enormous concentration. It is balanced with a strongly floral edge as well as a touch of acidity. The dark fruits give the wine richness while the tannins promise longevity. Drink this very fine wine from 2028. ",Quinta do Silval 2016 Magalhães Vintage  (Port),96,64,Port,Port, 2016
112,20.0,Port/Sherry,Portugal,"Big tannins coupled with dark fruits have produced a powerful wine with a long-term future. The wine has a dense structure, while also having richness. This is a wine that should age very well, richly textured with minerality as well as bold black fruits. Drink from 2028. ",Quinta do Crasto 2016 Vintage  (Port),96,70,Port,Port, 2016
114,20.0,Port/Sherry,Portugal,"This is a luscious wine. Its tannins are cushioned by the ripe plum and prune fruits. That doesn't mean it is likely to develop too quickly, but is ready to take its time, bringing out the opulent character of the wine as well as its structure. Drink from 2028. ",Kopke 2016 Vintage  (Port),96,80,Port,Port, 2016
115,20.0,Port/Sherry,Portugal,"This floral ripe wine is finely structured and has powerful concentration. Dark and firm, this is a style of relatively dry Port that will age for many years. The fruit is all there, well integrated with the spirit. Drink this dense, impressive wine from 2028. ",Andresen 2016 Vintage  (Port),96,65,Port,Port, 2016
